timestamp,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,sa,sb,sc,sd,tx-voltage,timer1,timer2
3540,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2540,0
3544,40,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2544,0
3548,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2548,0
3552,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2552,0
3556,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2556,0
3560,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2560,0
3564,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2564,0
3568,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2568,0
3572,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2572,0
3576,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2576,0
